variable,varlabel,N,mean,sd,min,p1,p5,p10,p25,p50,p75,p90,p95,p99,max,skewness,kurtosis
qg1001,公积金缴纳数额(元/月),23665,63.972321,293.01227,-8,-8,-8,-8,-8,-8,-8,110,500,1500,7000,6.9017816,75.518776
qg11,每月税后工资(元/月),23665,1777.0247,3458.6665,-8,-8,-8,-8,-8,-8,3000,6000,7500,12500,120000,6.720849,135.93465
qg1101,税后年终奖(元/年),23665,1473.1614,10406.287,-8,-8,-8,-8,-8,-8,0,300,6000,35000,600000,24.244379,982.37738
qg1102,税后奖金(元/月),23665,114.75157,4689.7729,-8,-8,-8,-8,-8,-8,0,0,0,2000,700000,141.03775,20970.074
qg12,工作总收入(元/年),27001,18997.189,41577.418,-9,-8,-8,-8,-8,-8,28000,60000,90000,160000,1800000,7.6215868,179.31815
qg1201_min,工作总收入区间最低值,27001,202.62468,3671.553,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,250000,34.548965,1824.1932
qg1201_max,工作总收入区间最高值,27001,417.98529,7711.9058,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,500000,34.881451,1709.3263
qg1201_est,工作总收入-估计值,27001,303.27039,5645.1787,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,375000,35.238438,1786.569
incomea,过去12个月所有一般工作的税后工资性收入,23665,2585.2141,17641.779,-9,-8,-8,-8,-8,-8,-8,-8,16000,56000,1320000,37.969368,2396.5181
incomeb,过去12个月主要工作税后工资性收入,23665,20749.684,43222.414,-9,-8,-8,-8,-8,-8,30000,70000,96000,175000,1800000,7.3587251,170.34982
emp_income,过去12个月所有工作（主要工作+一般工作）的税后,23665,23342.471,46945.363,-8,-8,-8,-8,-8,-8,36000,70000,100000,182000,1800000,7.8997006,173.82071
kg13a_s_1,所有求职渠道：选择1,23665,-5.916121,8.2436447,-8,-8,-8,-8,-8,-8,-8,1,4,5,77,8.1852045,81.05999
kg13a_s_2,所有求职渠道：选择2,23665,-7.9342489,1.3299117,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,77,46.541618,2832.8494
